Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
67.55994,0.00020,67.560192,0.000008,73000,,,0.000,-,148 016.157,3d10,1S,0,3d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)5f,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
67.7675,0.0003,67.767816,0.000008,29000,,,0.000,-,147 562.672,3d10,1S,0,3d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)7p,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
68.51377,0.00020,68.514058,0.000008,240000,,,0.000,-,145 955.447,3d10,1S,0,3d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)5f,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
68.53922,0.00020,68.539671,0.000008,45000,,,0.000,-,145 900.904,3d10,1S,0,3d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)5f,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
70.93098,0.00020,70.931287,0.000009,250000,,,0.000,-,140 981.510,3d10,1S,0,3d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)6p,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
71.81766,0.00020,71.817860,0.000009,310000,,,0.000,-,139 241.130,3d10,1S,0,3d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)6p,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
72.44881,0.00020,72.448867,0.000009,490000,,,0.000,-,138 028.384,3d10,1S,0,3d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)4f,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
73.55215,0.00011,73.552023,0.000009,780000,,,0.000,-,135 958.1919,3d10,1S,0,3d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)4f,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
73.60331,0.00008,73.603185,0.000009,870000,,,0.000,-,135 863.6857,3d10,1S,0,3d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)4f,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
76.32658,0.00020,76.32692,0.00003,140000,,,21 928.7326,-,152 944.11,3d94s,3D,3,3d<sup>8</sup>(<sup>3</sup>P)4s4p(<sup>1</sup>P°),3P°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
76.84821,0.00020,76.848565,0.000018,150000,,,21 928.7326,-,152 054.78,3d94s,3D,3,3d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)8p,2[3/2]°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
77.6484,0.0003,77.64877,0.00003,58000,,,23 998.3718,-,152 783.41,3d94s,3D,1,3d<sup>8</sup>(<sup>3</sup>P)4s4p(<sup>1</sup>P°),3P°,0,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
77.7739,0.0003,77.774333,0.000003,56000,,,22 847.1176,-,151 424.241,3d94s,3D,2,3d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)8p,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
77.92932,0.00020,77.929473,0.000005,590000,,,21 928.7326,-,150 249.887,3d94s,3D,3,3d<sup>8</sup>(<sup>1</sup>D)4s4p(<sup>1</sup>P°),1D°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
77.9328,0.0003,77.933660,0.000004,480000,,,22 847.1176,-,151 161.379,3d94s,3D,2,3d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)6f,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
78.49098,0.00020,78.491229,0.000005,69000,,,22 847.1176,-,150 249.887,3d94s,3D,2,3d<sup>8</sup>(<sup>1</sup>D)4s4p(<sup>1</sup>P°),1D°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
78.6392,0.0003,78.639222,0.000004,21000*,,,23 998.3718,-,151 161.379,3d94s,3D,1,3d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)6f,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
78.6392,0.0003,78.639795,0.000004,21000*,,,26 264.5502,-,153 426.632,3d94s,1D,2,3d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)6f,2[3/2]°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
78.7907,0.0003,78.79056,0.00003,33000,,,22 847.1176,-,149 765.88,3d94s,3D,2,3d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)7p,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
78.8012,0.0003,78.801778,0.000019,45000,,,26 264.5502,-,153 165.24,3d94s,1D,2,3d<sup>8</sup>(<sup>1</sup>D)4s4p(<sup>1</sup>P°),1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
78.93937,0.00020,78.93933,0.00003,100000*,,,26 264.5502,-,152 944.11,3d94s,1D,2,3d<sup>8</sup>(<sup>3</sup>P)4s4p(<sup>1</sup>P°),3P°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
78.93937,0.00020,78.93977,0.00003,100000*,,,22 847.1176,-,149 525.97,3d94s,3D,2,3d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)7p,2[5/2]°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
78.96575,0.00020,78.965867,0.000005,59000,,,22 847.1176,-,149 484.111,3d94s,3D,2,3d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)7p,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
79.49719,0.00020,79.497430,0.000019,56000,,,26 264.5502,-,152 054.78,3d94s,1D,2,3d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)8p,2[3/2]°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
79.74530,0.00020,79.745499,0.000004,560000,,,21 928.7326,-,147 327.659,3d94s,3D,3,3d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)7p,2[3/2]°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
79.76193,0.00020,79.76218,0.00005,35000,,,23 998.3718,-,149 371.08,3d94s,3D,1,3d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)7p,2[1/2]°,0,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
79.8977,0.0003,79.897928,0.000003,23000,,,26 264.5502,-,151 424.241,3d94s,1D,2,3d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)8p,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
80.06592,0.00020,80.066084,0.000005,26000,,,26 264.5502,-,151 161.379,3d94s,1D,2,3d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)6f,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
80.18229,0.00020,80.182460,0.000004,84000,,,22 847.1176,-,147 562.672,3d94s,3D,2,3d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)7p,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
80.33370,0.00020,80.333841,0.000004,77000,,,22 847.1176,-,147 327.659,3d94s,3D,2,3d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)7p,2[3/2]°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
80.65454,0.00020,80.654699,0.000005,180000,,,26 264.5502,-,150 249.887,3d94s,1D,2,3d<sup>8</sup>(<sup>1</sup>D)4s4p(<sup>1</sup>P°),1D°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19804&amp;comment_code=c170&amp;element=Cu&amp;spectr_charge=2&amp;ref=19804&amp;type=
