Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
34.443,0.002,34.444*,a,,,0.000,-,290 330,3d104s2,1S,0,3d<sup>9</sup>4s<sup>2</sup>11p,"(5/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
34.455,0.002,34.455*,a,,,0.000,-,290 230,3d104s2,1S,0,3d<sup>9</sup>4s<sup>2</sup>7f,"(3/2,5/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
34.473,0.002,34.473*,a,,,0.000,-,290 080,3d104s2,1S,0,3d<sup>9</sup>4s<sup>2</sup>9f,"(5/2,7/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
34.610,0.002,34.610*,a,,,0.000,-,288 930,3d104s2,1S,0,3d<sup>9</sup>4s<sup>2</sup>10p,"(5/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
34.633,0.002,34.633*,a,,,0.000,-,288 740,3d104s2,1S,0,3d<sup>9</sup>4s<sup>2</sup>8f,"(5/2,7/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
34.816,0.002,34.817*,a,,,0.000,-,287 220,3d104s2,1S,0,3d<sup>9</sup>4s<sup>2</sup>8p,"(3/2,1/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
34.858,0.002,34.858*,a,,,0.000,-,286 880,3d104s2,1S,0,3d<sup>9</sup>4s<sup>2</sup>9p,"(5/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
34.866,0.002,34.866*,a,,,0.000,-,286 810,3d104s2,1S,0,3d<sup>9</sup>4s<sup>2</sup>6f,"(3/2,5/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
34.885,0.002,34.885*,a,,,0.000,-,286 660,3d104s2,1S,0,3d<sup>9</sup>4s<sup>2</sup>7f,"(5/2,7/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
35.200,0.002,35.200*,a,,,0.000,-,284 090,3d104s2,1S,0,3d<sup>9</sup>4s<sup>2</sup>6f,"(5/2,7/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
35.243,0.002,35.244*,a,,,0.000,-,283 740,3d104s2,1S,0,3d<sup>9</sup>4s<sup>2</sup>8p,"(5/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
