Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
,23.4347160426,0.0000000005,,3.1586e+08,AA,0.0000,-,(426 717.3530854),1s,2S,1/2,6p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,23.4347279561,0.0000000005,,3.1583e+08,AA,0.0000,-,(426 717.1361554),1s,2S,1/2,6p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,23.7330663920,0.0000000005,,5.5036e+08,AA,0.0000,-,(421 353.05378699),1s,2S,1/2,5p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,23.7330875061,0.0000000005,,5.5033e+08,AA,0.0000,-,(421 352.6789311),1s,2S,1/2,5p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,24.3026444338,0.0000000005,,1.0917e+09,AA,0.0000,-,(411 477.8548989),1s,2S,1/2,4p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,24.3026876757,0.0000000005,,1.0917e+09,AA,0.0000,-,(411 477.1227550),1s,2S,1/2,4p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,25.6316562565,0.0000000005,,2.6778e+09,AA,0.0000,-,(390 142.5604306),1s,2S,1/2,3p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,25.6317702737,0.0000000005,,2.6777e+09,AA,0.0000,-,(390 140.8249696),1s,2S,1/2,3p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,30.3780409484,0.0000000011,,1.0029e+10,AA,0.0000,-,(329 185.15110923),1s,2S,1/2,2p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,30.3785814724,0.0000000011,,1.0030e+10,AA,0.0000,-,(329 179.2939406),1s,2S,1/2,2p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,102.524082655,0.000000010,,6.8658e+07,AA,(329 179.2939406),-,(426 717.352717),2p,2P°,1/2,6d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,102.524291882,0.000000009,,3.9232e+06,AA,(329 179.2939406),-,(426 717.1536654),2p,2P°,1/2,6s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,102.524574585,0.000000010,,4.5764e+07,AA,(329 179.762313),-,(426 717.3530854),2s,2S,1/2,6p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,102.524802607,0.000000010,,4.5768e+07,AA,(329 179.762313),-,(426 717.1361554),2s,2S,1/2,6p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,102.530163594,0.000000010,,8.2376e+07,AA,(329 185.15110923),-,(426 717.425022),2p,2P°,3/2,6d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,102.530239605,0.000000010,,1.3729e+07,AA,(329 185.15110923),-,(426 717.352717),2p,2P°,3/2,6d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,102.530448857,0.000000009,,7.8495e+06,AA,(329 185.15110923),-,(426 717.1536654),2p,2P°,3/2,6s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,108.490747093,0.000000012,,1.2577e+08,AA,(329 179.2939406),-,(421 353.053159),2p,2P°,1/2,5d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,108.491151976,0.000000011,,6.8782e+06,AA,(329 179.2939406),-,(421 352.709172),2p,2P°,1/2,5s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,108.491297643,0.000000011,,7.9227e+07,AA,(329 179.762313),-,(421 353.05378699),2s,2S,1/2,5p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,108.491738863,0.000000011,,7.9234e+07,AA,(329 179.762313),-,(421 352.6789311),2s,2S,1/2,5p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,108.497494482,0.000000012,,1.5091e+08,AA,(329 185.15110923),-,(421 353.178101),2p,2P°,3/2,5d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,108.497641561,0.000000012,,2.5150e+07,AA,(329 185.15110923),-,(421 353.053159),2p,2P°,3/2,5d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,108.498046495,0.000000011,,1.3762e+07,AA,(329 185.15110923),-,(421 352.709172),2p,2P°,3/2,5s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,121.508809287,0.000000018,,2.7523e+08,AA,(329 179.2939406),-,(411 477.853680),2p,2P°,1/2,4d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,121.509499015,0.000000013,,1.5479e+08,AA,(329 179.762313),-,(411 477.8548989),2s,2S,1/2,4p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,121.509801355,0.000000013,,1.3762e+07,AA,(329 179.2939406),-,(411 477.1817529),2p,2P°,1/2,4s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,121.510580003,0.000000013,,1.5481e+08,AA,(329 179.762313),-,(411 477.1227550),2s,2S,1/2,4p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,121.517097314,0.000000018,,3.3023e+08,AA,(329 185.15110923),-,(411 478.097707),2p,2P°,3/2,4d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,121.517457655,0.000000018,,5.5036e+07,AA,(329 185.15110923),-,(411 477.853680),2p,2P°,3/2,4d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,121.518449864,0.000000013,,2.7534e+07,AA,(329 185.15110923),-,(411 477.1817529),2p,2P°,3/2,4s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,164.033212853,0.000000023,,8.6268e+08,AA,(329 179.2939406),-,(390 142.55757536),2p,2P°,1/2,3d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,164.034465424,0.000000024,,3.5939e+08,AA,(329 179.762313),-,(390 142.5604306),2s,2S,1/2,3p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
,164.03749939,0.00000003,,3.3700e+07,AA,(329 179.2939406),-,(390 140.964517),2p,2P°,1/2,3s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7771&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=7771&amp;type=,
