Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
201.278,201.2776+,6200,,,3 050.88,-,52 717.46,5d6s2,a 2D,5/2,5d<sup>2</sup>(<sup>3</sup>P)6p,x 4D°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
202.818,202.818+,8500,,,13 485.56,-,62 774.9,5d2(3P)6s,a 4P,5/2,5d<sup>2</sup>(<sup>1</sup>G)6p,v 2F°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
209.618,,1200,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
221.082,,540,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
225.401,,320,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
225.515,,160,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
226.683,,250,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
227.716,,620,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
232.114,,230,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
232.247,,580,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
232.325,,300,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
232.450,,120,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
232.489,,300,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
233.297,,200,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
233.733,,200,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
234.332,,230,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
234.744,,320,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
235.122,,540,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
236.598,,90,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
238.030,,250,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
238.100,,100,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
239.318,,170,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
239.336,,450,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
239.383,,670,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
240.078,,130,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
240.456,,70,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
240.542,,540,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
240.644,,130,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Hf&amp;spectr_charge=2&amp;ref=3475&amp;type=
