Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
218.787,218.7874+,240,,,0.00,-,45 692.17,5d2,a 3F,2,6s6p,x 1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=2&amp;ref=3475&amp;type=
225.676,225.6754+,770,,,1 394.46,-,45 692.17,5d2,,2,6s6p,x 1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=2&amp;ref=3475&amp;type=
231.782,231.7813+,90,,,18 895.41,-,62 026.27,4f5d,z 1D°,2,4f<sup>2</sup>,i 1D,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=2&amp;ref=3475&amp;type=
231.944,231.9442+,200,,,2 591.60,-,45 692.17,5d6s,a 3D,2,6s6p,x 1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=2&amp;ref=3475&amp;type=
232.875,232.8744+,75,,,16 599.17,-,59 527.60,4f5d,z 1G°,4,4f<sup>2</sup>,g 1G,4,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=2&amp;ref=3475&amp;type=
243.801,243.8007+,20,,,18 895.41,-,59 900.08,4f5d,z 1D°,2,6p<sup>2</sup>,h 1D,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=2&amp;ref=3475&amp;type=
247.190,247.1901+,65,,,5 249.70,-,45 692.17,5d2,a 3P,0,6s6p,x 1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=2&amp;ref=3475&amp;type=
247.244,247.2432+,35,,,17 825.62,-,58 259.41,4f5d,z 3H°,4,4f<sup>2</sup>,g 3F,4,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=2&amp;ref=3475&amp;type=
247.985,247.9837+,35,,,19 214.54,-,59 527.60,4f5d,y 3F°,4,4f<sup>2</sup>,g 1G,4,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=2&amp;ref=3475&amp;type=
248.759,248.7576+,65,,,17 211.93,-,57 399.58,4f5d,y 3F°,2,4f<sup>2</sup>,g 3F,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=2&amp;ref=3475&amp;type=
253.314,253.3146+,45,,,6 227.42,-,45 692.17,5d2,a 3P,2,6s6p,x 1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=2&amp;ref=3475&amp;type=
256.037,256.0388+,45,,,19 214.54,-,58 259.41,4f5d,y 3F°,4,4f<sup>2</sup>,g 3F,4,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=2&amp;ref=3475&amp;type=
258.082,258.0811+,18,,,15 698.74,-,54 434.65,4f(2F°7/2)6s1/2,"(7/2,1/2)°",4,5d6d,f 3G,5,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=La&amp;spectr_charge=2&amp;ref=3475&amp;type=
