Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
,18.409,"g,a",,,0.00,-,543 210,2p63s,2S,1/2,2p<sup>5</sup>3s7d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
18.431,18.431,"g,a",,,0.00,-,542 560,2p63s,2S,1/2,2p<sup>5</sup>3s9d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
18.468,18.468,"g,a",,,0.00,-,541 480,2p63s,2S,1/2,2p<sup>5</sup>3s9d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
18.481,18.481,"g,a",,,0.00,-,541 100,2p63s,2S,1/2,2p<sup>5</sup>3s8d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
18.526,18.526,"g,a",,,0.00,-,539 780,2p63s,2S,1/2,2p<sup>5</sup>3s6d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
18.559,18.559,"g,a",,,0.00,-,538 820,2p63s,2S,1/2,2p<sup>5</sup>3s7d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
18.598,18.598,"g,a",,,0.00,-,537 690,2p63s,2S,1/2,2p<sup>5</sup>3s7d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
18.647,18.647,"g,a",,,0.00,-,536 280,2p63s,2S,1/2,2p<sup>5</sup>3s6d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
18.684,18.684,"g,a",,,0.00,-,535 220,2p63s,2S,1/2,2p<sup>5</sup>3s6d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
18.719,18.719,"g,a",,,0.00,-,534 220,2p63s,2S,1/2,2p<sup>5</sup>3s6d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
18.738,18.738,"g,a",,,0.00,-,533 670,2p63s,2S,1/2,2p<sup>5</sup>3s6d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
18.854,18.854,"g,a",,,0.00,-,530 390,2p63s,2S,1/2,2p<sup>5</sup>3s5d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
18.891,18.891,"g,a",,,0.00,-,529 350,2p63s,2S,1/2,2p<sup>5</sup>3s5d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
18.901,18.901,"g,a",,,0.00,-,529 070,2p63s,2S,1/2,2p<sup>5</sup>3s5d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
18.923,18.923,"g,a",,,0.00,-,528 460,2p63s,2S,1/2,2p<sup>5</sup>3s5d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
18.937,18.937,"g,a",,,0.00,-,528 070,2p63s,2S,1/2,2p<sup>5</sup>3s5d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
19.130,19.130,"g,a",,,0.00,-,522 740,2p63s,2S,1/2,2p<sup>5</sup>3s4d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
19.156,19.156,"g,a",,,0.00,-,522 030,2p63s,2S,1/2,2p<sup>5</sup>3s4d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
19.165,19.165,"g,a",,,0.00,-,521 780,2p63s,2S,1/2,2p<sup>5</sup>3s5s?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
19.240,19.240,"g,a",,,0.00,-,519 750,2p63s,2S,1/2,2p<sup>5</sup>3s4d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
19.255,19.255,"g,a",,,0.00,-,519 350,2p63s,2S,1/2,2p<sup>5</sup>3s4d?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
19.284,19.284,"g,a",,,0.00,-,518 560,2p63s,2S,1/2,2p<sup>5</sup>3s5s?,°,1/2or3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2781&amp;comment_code=&amp;element=Mg&amp;spectr_charge=2&amp;ref=2781&amp;type=
