Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),Type,TPRef.,LineRef.
206.721,,7800,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
207.067,,4200,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
219.439,,840,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
225.585,,2000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
228.226,,1400,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
231.375,,190,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
233.680,,720,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
235.023,,230,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
235.528,,120,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
236.735,,500,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
237.506,,95,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
240.508,,95,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
242.002,,95,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
242.307,,200,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
242.402,,70,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
242.790,,70,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
245.491,,110,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
246.890,,110,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
248.624,,530,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
250.718,,35,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
250.971,,70,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
253.800,,780,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
254.883,,30,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
256.316,,190,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
257.832,,150,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
258.003,,130,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
259.600,,170,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
263.122,,27,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
266.429,,40,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
273.136,,40,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
278.388,,40,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
286.337,,35,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
287.939,,35,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
288.020,,30,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
304.274,,120,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
317.393,,180,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
321.331,,150,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
360.448,,95,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Os&amp;spectr_charge=2&amp;ref=3475&amp;type=
