Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),Type,TPRef.,LineRef.
259.916,,3000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
269.922,,3000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
282.279,,3000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
287.142,,3000w,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
289.114,,3000w,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
301.110,,3000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
303.359,,3000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
307.124,,3000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
309.323,,3000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
312.623,,3000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
314.628,,3000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
317.089,,3000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
317.154,,3000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
324.058,,3000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
327.446,,3000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
333.269,,3000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
334.666,,3000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
345.282,,3000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
353.065,,3000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
395.262,,3000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
395.785,,10000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
397.007,,3000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
401.296,,3000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
401.821,,3000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
403.016,,3000,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
404.693,,3000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
405.620,,10000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
407.040,,10000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
417.618,,3000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
421.723,,10000l,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
424.808,,10000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
429.134,,3000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
460.143,,3000s,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u2&amp;element=Pa&amp;spectr_charge=2&amp;ref=&amp;type=
