Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
188.870,0.020,188.8639,0.0014,5,,,13 742.99,-,66 691.18,6d,2D,5/2,7f,2F°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c160&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
190.870,0.020,190.8688,0.0007,8,1.75e+07,B,0.000,-,52 392.02,7s,2S,1/2,8p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8601&amp;comment_code=&amp;element=Ra&amp;spectr_charge=2&amp;ref=8601&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c160&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
197.260,0.020,197.2698,0.0012,4,,,21 351.3259,-,72 043.33,7p,2P°,1/2,10d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c160&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
197.600,0.020,197.6039,0.0009,2,,,0.000,-,50 606.29,7s,2S,1/2,8p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c160&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
200.640,0.020,200.6514,0.0012,2,,,21 351.3259,-,71 172.88,7p,2P°,1/2,11s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c160&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
201.275,0.010,201.2741,0.0008,3,,,13 742.99,-,63 410.43,6d,2D,5/2,9p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c160&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
207.060,0.020,207.058,0.020,2,,,26 208.8538,-,74 489,7p,2P°,3/2,11d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c160&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
210.760,0.020,210.758,0.020,4,2.67e+07,B,12 084.2721,-,59 517,6d,2D,3/2,6f,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8601&amp;comment_code=&amp;element=Ra&amp;spectr_charge=2&amp;ref=8601&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c161&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
213.100,0.020,213.0944,0.0009,5,,,21 351.3259,-,68 264.07,7p,2P°,1/2,9d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c161&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
216.990,0.020,216.988,0.020,10,,,13 742.99,-,59 814,6d,2D,5/2,6f,2F°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c161&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
217.730,0.020,217.7261,0.0014,4,,,26 208.8538,-,72 123.74,7p,2P°,3/2,10d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c161&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
218.110,0.020,218.1081,0.0014,1,,,26 208.8538,-,72 043.33,7p,2P°,3/2,10d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c161&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
219.780,0.020,219.7725,0.0011,2,,,21 351.3259,-,66 838.72,7p,2P°,1/2,10s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c161&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
222.330,0.020,222.3308,0.0015,3,,,26 208.8538,-,71 172.88,7p,2P°,3/2,11s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c161&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
236.9730,0.0020,236.9730,0.0013,8,,,26 208.8538,-,68 394.87,7p,2P°,3/2,9d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c161&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
237.7100,0.0020,237.7101,0.0012,3,,,26 208.8538,-,68 264.07,7p,2P°,3/2,9d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c161&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
246.055,0.003,246.0499,0.0013,8,,,26 208.8538,-,66 838.72,7p,2P°,3/2,10s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c161&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
247.550,0.003,247.550,0.003,10,,,21 351.3259,-,61 735.0,7p,2P°,1/2,8d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c161&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
248.011,0.003,248.0164,0.0012,4,7.5e+05,D+,12 084.2721,-,52 392.02,6d,2D,3/2,8p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8601&amp;comment_code=&amp;element=Ra&amp;spectr_charge=2&amp;ref=8601&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c161&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
258.661,0.003,258.6613,0.0013,8,,,13 742.99,-,52 392.02,6d,2D,5/2,8p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c161&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
259.515,0.003,259.5142,0.0015,2,,,12 084.2721,-,50 606.29,6d,2D,3/2,8p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c161&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
264.373,0.003,264.3737,0.0021,10,,,21 351.3259,-,59 165.3,7p,2P°,1/2,9s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c161&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
270.8960,0.0020,270.8960,0.0011,20,3.70e+08,AA,12 084.2721,-,48 987.86,6d,2D,3/2,5f,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8601&amp;comment_code=&amp;element=Ra&amp;spectr_charge=2&amp;ref=8601&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c163&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
279.521,0.007,279.521,0.007,10p(Mg II),,,26 208.8538,-,61 973.8,7p,2P°,3/2,8d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c161&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
281.3760,0.0020,281.3762,0.0012,30,,,13 742.99,-,49 272.14,6d,2D,5/2,5f,2F°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c163&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
283.6460,0.0020,283.6458,0.0012,6,,,13 742.99,-,48 987.86,6d,2D,5/2,5f,2F°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c163&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
303.344,0.004,303.342,0.003,10,,,26 208.8538,-,59 165.3,7p,2P°,3/2,9s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c161&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
342.310,0.020,342.283,0.014,2,,,48 987.86,-,78 195.1,5f,2F°,5/2,11g,2G,"7/2,9/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c161&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
345.620,0.020,345.647,0.014,2,,,49 272.14,-,78 195.1,5f,2F°,7/2,11g,2G,"7/2,9/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c161&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
351.480,0.020,351.476,0.014,2,,,48 987.86,-,77 431.2,5f,2F°,5/2,10g,2G,"7/2,9/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c161&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
355.020,0.020,355.024,0.014,2,,,49 272.14,-,77 431.2,5f,2F°,7/2,10g,2G,"7/2,9/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c161&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
364.9550,0.0020,364.9566,0.0011,100,,,21 351.3259,-,48 744.04,7p,2P°,1/2,7d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c163&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
368.6160,0.0020,368.6160,0.0020,3,,,49 272.14,-,76 392.92,5f,2F°,7/2,9g,2G,"7/2,9/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
381.44219,0.00003,381.44219,0.00003,200,1.880e+08,AA,0.000,-,26 208.8538,7s,2S,1/2,7p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8601&amp;comment_code=&amp;element=Ra&amp;spectr_charge=2&amp;ref=8601&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=19080&amp;comment_code=&amp;element=Ra&amp;spectr_charge=2&amp;ref=19080&amp;type=
385.190,0.005,385.189,0.003,5p(Cl II),,,48 987.86,-,74 941.76,5f,2F°,5/2,8g,2G,"7/2,9/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
389.455,0.003,389.455,0.003,5,,,49 272.14,-,74 941.76,5f,2F°,7/2,8g,2G,"7/2,9/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
419.409,0.003,419.4091,0.0025,8,,,48 987.86,-,72 824.21,5f,2F°,5/2,7g,2G,"7/2,9/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
419.556,0.003,419.556,0.003,2,,,50 606.29,-,74 434.30,8p,2P°,1/2,11d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
422.024,0.003,422.024,0.003,1,,,52 392.02,-,76 080.68,8p,2P°,3/2,12d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
424.472,0.004,424.472,0.003,8,,,49 272.14,-,72 824.21,5f,2F°,7/2,7g,2G,"7/2,9/2",,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
434.064,0.007,434.064,0.008,100p(H I),,,26 208.8538,-,49 240.45,7p,2P°,3/2,7d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c162&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
443.6270,0.0020,443.6259,0.0018,20,,,26 208.8538,-,48 744.04,7p,2P°,3/2,7d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c163&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
453.3110,0.0020,453.3111,0.0010,30,,,21 351.3259,-,43 405.05,7p,2P°,1/2,8s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3526&amp;comment_code=c163&amp;element=Ra&amp;spectr_charge=2&amp;ref=3526&amp;type=
