Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
,55.8755,2g,,,0.00,-,178 969.32,3s23p3,4S°,3/2,3s<sup>2</sup>3p<sup>2</sup>(<sup>3</sup>P)7d,4P,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5883&amp;comment_code=&amp;element=S&amp;spectr_charge=2&amp;ref=5883&amp;type=
55.8924,55.8924,2g,,,0.00,-,178 915.20,3s23p3,4S°,3/2,3s<sup>2</sup>3p<sup>2</sup>(<sup>3</sup>P)7d,4P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5883&amp;comment_code=&amp;element=S&amp;spectr_charge=2&amp;ref=5883&amp;type=
55.9131,55.9131,2g,,,0.00,-,178 848.96,3s23p3,4S°,3/2,3s<sup>2</sup>3p<sup>2</sup>(<sup>3</sup>P)7d,4P,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5883&amp;comment_code=&amp;element=S&amp;spectr_charge=2&amp;ref=5883&amp;type=
56.0713,56.0713,2g,,,0.00,-,178 344.36,3s23p3,4S°,3/2,3s<sup>2</sup>3p<sup>2</sup>(<sup>3</sup>P)7d,4D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5883&amp;comment_code=&amp;element=S&amp;spectr_charge=2&amp;ref=5883&amp;type=
57.1156,57.1156,3g,,,0.00,-,175 083.51,3s23p3,4S°,3/2,3s<sup>2</sup>3p<sup>2</sup>(<sup>3</sup>P)6d,4P,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5883&amp;comment_code=&amp;element=S&amp;spectr_charge=2&amp;ref=5883&amp;type=
57.1364,57.1364,4g,,,0.00,-,175 019.78,3s23p3,4S°,3/2,3s<sup>2</sup>3p<sup>2</sup>(<sup>3</sup>P)6d,4P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5883&amp;comment_code=&amp;element=S&amp;spectr_charge=2&amp;ref=5883&amp;type=
57.1779,57.1779,5g,,,0.00,-,174 892.75,3s23p3,4S°,3/2,3s<sup>2</sup>3p<sup>2</sup>(<sup>3</sup>P)6d,4P,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5883&amp;comment_code=&amp;element=S&amp;spectr_charge=2&amp;ref=5883&amp;type=
57.3523,57.3523,4g,,,0.00,-,174 360.92,3s23p3,4S°,3/2,3s<sup>2</sup>3p<sup>2</sup>(<sup>3</sup>P)6d,4D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5883&amp;comment_code=&amp;element=S&amp;spectr_charge=2&amp;ref=5883&amp;type=
57.3627,57.3627,1g,,,0.00,-,174 329.31,3s23p3,4S°,3/2,3s<sup>2</sup>3p<sup>2</sup>(<sup>3</sup>P)6d,4D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5883&amp;comment_code=&amp;element=S&amp;spectr_charge=2&amp;ref=5883&amp;type=
57.3813,57.3807,1g,,,0.00,-,174 274.52,3s23p3,4S°,3/2,3s<sup>2</sup>3p<sup>2</sup>(<sup>3</sup>P)7s,2P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5883&amp;comment_code=&amp;element=S&amp;spectr_charge=2&amp;ref=5883&amp;type=
57.4397,57.4389,2g,,,0.00,-,174 098.10,3s23p3,4S°,3/2,3s<sup>2</sup>3p<sup>2</sup>(<sup>3</sup>P)7s,4P,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5883&amp;comment_code=&amp;element=S&amp;spectr_charge=2&amp;ref=5883&amp;type=
57.6057,57.6051,1g,,,0.00,-,173 595.77,3s23p3,4S°,3/2,3s<sup>2</sup>3p<sup>2</sup>(<sup>3</sup>P)7s,4P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5883&amp;comment_code=&amp;element=S&amp;spectr_charge=2&amp;ref=5883&amp;type=
57.6978,57.6978,1g,,,0.00,-,173 316.83,3s23p3,4S°,3/2,3s<sup>2</sup>3p<sup>2</sup>(<sup>3</sup>P)7s,4P,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5883&amp;comment_code=&amp;element=S&amp;spectr_charge=2&amp;ref=5883&amp;type=
