Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
,116.0216,0,,,4 883.57,-,91 074.4,3p63d2,3F,3,3p<sup>6</sup>3d6f,3G°,4,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
116.1347,116.1347,1,,,4 987.79,-,91 094.7,3p63d2,3F,4,3p<sup>6</sup>3d6f,3G°,5,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
116.1624,116.1621,0,,,4 987.79,-,91 074.4,3p63d2,3F,4,3p<sup>6</sup>3d6f,3G°,4,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
116.1781,116.1781,0,,,4 987.79,-,91 062.5,3p63d2,3F,4,3p<sup>6</sup>3d6f,3F°,4,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
116.2544,116.2544,0,,,4 802.87,-,90 821.1,3p63d2,3F,2,3p<sup>6</sup>3d6f,3G°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
116.3464,116.3466,0,,,4 987.79,-,90 937.9,3p63d2,3F,4,3p<sup>6</sup>3d6f,3H°,5,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
120.3635,120.3635,0,,,2 540.95,-,85 622.6,3p63d4s,1D,2,3p<sup>6</sup>3d5f,1F°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
123.7170,123.7170,0,,,4 987.79,-,85 817.40,3p63d2,3F,4,3p<sup>6</sup>3d5f,1H°,5,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
123.7317,123.7322,1,,,4 802.87,-,85 622.6,3p63d2,3F,2,3p<sup>6</sup>3d5f,1F°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
123.8571,123.8558,1,,,4 883.57,-,85 622.6,3p63d2,3F,3,3p<sup>6</sup>3d5f,1F°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5141&amp;comment_code=&amp;element=Sc&amp;spectr_charge=2&amp;ref=5141&amp;type=
