Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),Type,TPRef.,LineRef.
82.85,,285,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3276&amp;comment_code=&amp;element=Se&amp;spectr_charge=2&amp;ref=3276&amp;type=
83.27,,360,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3276&amp;comment_code=&amp;element=Se&amp;spectr_charge=2&amp;ref=3276&amp;type=
90.66,,285,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3276&amp;comment_code=&amp;element=Se&amp;spectr_charge=2&amp;ref=3276&amp;type=
91.29,,360,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3276&amp;comment_code=&amp;element=Se&amp;spectr_charge=2&amp;ref=3276&amp;type=
101.34,,360,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3276&amp;comment_code=&amp;element=Se&amp;spectr_charge=2&amp;ref=3276&amp;type=
101.40,,360,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3276&amp;comment_code=&amp;element=Se&amp;spectr_charge=2&amp;ref=3276&amp;type=
103.36,,450,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3276&amp;comment_code=&amp;element=Se&amp;spectr_charge=2&amp;ref=3276&amp;type=
104.96,,450,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3276&amp;comment_code=&amp;element=Se&amp;spectr_charge=2&amp;ref=3276&amp;type=
105.74,,360,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3276&amp;comment_code=&amp;element=Se&amp;spectr_charge=2&amp;ref=3276&amp;type=
109.78,,285,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3276&amp;comment_code=&amp;element=Se&amp;spectr_charge=2&amp;ref=3276&amp;type=
