Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
122.948,,122.948070,0.000005,0:,,,983.9157,-,82 319.068,3d3,b 4F,5/2,3d<sup>2</sup>(<sup>3</sup>F)4f,2D°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.202,,123.201952,0.000003,0:,,,983.9157,-,82 151.461,3d3,b 4F,5/2,3d<sup>2</sup>(<sup>3</sup>F)4f,2F°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.304,,123.303558,0.000003,2:,,,1 215.8329,-,82 316.4935,3d3,b 4F,9/2,3d<sup>2</sup>(<sup>3</sup>P)5p,4D°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.322,,123.321231,0.000008,0:,,,907.9672,-,81 997.005,3d3,b 4F,3/2,3d<sup>2</sup>(<sup>3</sup>F)4f,2F°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.359,,123.359161,0.000003,2:,,,1 087.3561,-,82 151.461,3d3,b 4F,7/2,3d<sup>2</sup>(<sup>3</sup>F)4f,2F°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.386,,123.385500,0.000003,1:,,,1 087.3561,-,82 134.1565,3d3,b 4F,7/2,3d<sup>2</sup>(<sup>3</sup>F)4f,4D°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.437,,123.436843,0.000008,2:,,,983.9157,-,81 997.005,3d3,b 4F,5/2,3d<sup>2</sup>(<sup>3</sup>F)4f,2F°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.470,,123.470197,0.000005,4:,,,1 087.3561,-,82 078.561,3d3,b 4F,7/2,3d<sup>2</sup>(<sup>3</sup>F)4f,4G°,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.506,,123.506134,0.000003,1:,,,1 215.8329,-,82 183.471,3d3,b 4F,9/2,3d<sup>2</sup>(<sup>3</sup>F)4f,2H°,11/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.518,,123.517926,0.000005,1:*,,,907.9672,-,81 867.876,3d3,b 4F,3/2,3d<sup>2</sup>(<sup>3</sup>F)4f,4F°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.518,,123.518553,0.000003,1:*,,,983.9157,-,81 943.4136,3d3,b 4F,5/2,3d<sup>2</sup>(<sup>3</sup>F)4f,4F°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
123.561,,123.560712,0.000003,4:,,,1 215.8329,-,82 147.7069,3d3,b 4F,9/2,3d<sup>2</sup>(<sup>3</sup>F)4f,4F°,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
