Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
67.5295,67.52870+,3,,,0.00,-,148 085.19,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>3</sup>P<sub>1</sub>)6d,2[1],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6925&amp;comment_code=&amp;element=Xe&amp;spectr_charge=2&amp;ref=6925&amp;type=
67.7666,67.76703+,1,,,0.00,-,147 564.38,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)8s,2[2],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6925&amp;comment_code=&amp;element=Xe&amp;spectr_charge=2&amp;ref=6925&amp;type=
68.0645,68.06061+,,,,0.00,-,146 927.86,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>3</sup>P<sub>1</sub>)6d,2[3],5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6925&amp;comment_code=&amp;element=Xe&amp;spectr_charge=2&amp;ref=6925&amp;type=
69.2588,69.25932+,1,,,0.00,-,144 384.90,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>3</sup>P<sub>0</sub>)6d,2[2],5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6925&amp;comment_code=&amp;element=Xe&amp;spectr_charge=2&amp;ref=6925&amp;type=
69.9660,69.96437+,0,,,0.00,-,142 929.90,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>3</sup>P<sub>1</sub>)7s,2[1],1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6925&amp;comment_code=&amp;element=Xe&amp;spectr_charge=2&amp;ref=6925&amp;type=
70.2342,70.23353+,2,,,0.00,-,142 382.13,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>3</sup>P<sub>1</sub>)7s,2[1],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6925&amp;comment_code=&amp;element=Xe&amp;spectr_charge=2&amp;ref=6925&amp;type=
71.6129,71.61250+,2,,,0.00,-,139 640.43,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)6d,2[1],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6925&amp;comment_code=&amp;element=Xe&amp;spectr_charge=2&amp;ref=6925&amp;type=
71.8936,71.89368+,3,,,0.00,-,139 094.28,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)6d,2[3],5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6925&amp;comment_code=&amp;element=Xe&amp;spectr_charge=2&amp;ref=6925&amp;type=
72.0839,72.08423+,2,,,0.00,-,138 726.59,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)6d,2[0],1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6925&amp;comment_code=&amp;element=Xe&amp;spectr_charge=2&amp;ref=6925&amp;type=
72.4303,72.43092+,2,,,0.00,-,138 062.59,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>1</sup>S<sub>0</sub>)5d,2[2],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6925&amp;comment_code=&amp;element=Xe&amp;spectr_charge=2&amp;ref=6925&amp;type=
73.2266,73.23104+,2d*,,,0.00,-,136 554.11,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)6d,2[1],1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6925&amp;comment_code=&amp;element=Xe&amp;spectr_charge=2&amp;ref=6925&amp;type=
73.2266,73.22272+,2d*,,,0.00,-,136 569.63,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>1</sup>S<sub>0</sub>)5d,2[2],5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6925&amp;comment_code=&amp;element=Xe&amp;spectr_charge=2&amp;ref=6925&amp;type=
74.0406,74.04064+,2,,,0.00,-,135 060.97,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>1</sup>D<sub>2</sub>)5d,2[0],1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6925&amp;comment_code=&amp;element=Xe&amp;spectr_charge=2&amp;ref=6925&amp;type=
75.0815,75.08104+,2,,,0.00,-,133 189.42,5s25p5,2P°,3/2,5s<sup>2</sup>5p<sup>4</sup>(<sup>3</sup>P<sub>2</sub>)7s,2[2],3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6925&amp;comment_code=&amp;element=Xe&amp;spectr_charge=2&amp;ref=6925&amp;type=
